Compound,Compound ID,Formula,Description,Link,Neutral mass (Da),m/z,Retention time (min),Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Adducts,1.1,1.2,2.1,2.2,3.1,3.2,4.1,4.2,5.1,5.2,6.1,6.2
2.26_445.1679m/z,1001980,C25H23FN4O3,"4-[(4-fluorophenyl)methyl]-6-(4-pyridin-2-ylpiperazine-1-carbonyl)-1,4-benzoxazin-3-one",,,445.167887308116,2.26208333333333,35.3,0,-0.571737848524855,77.2469876731504,M-H,249.06659239192,282.00459021737,501.179080983743,458.407299437429,199.079734891219,198.354888916107,480.592281103304,530.151777205413,342.292303811411,369.562004387589,188.434781953228,219.846831321798
2.26_593.1416m/z,1047367,C15H11N3O4,"2-(4-methoxyphenyl)-5-(3-nitrophenyl)-1,3,4-oxadiazole",,,593.141635933346,2.26208333333333,36.2,0,-1.68194163597109,83.2644703073808,2M-H,2.85102304948059,3.23179310571822,58.9091155324158,50.1502456672573,35.5110723409977,32.9307417915137,17.2140049384494,14.8095292216747,23.5153296514238,27.8992066818992,28.5007324218642,43.0992729004619
2.40_365.1404m/z,1004376,C20H21FN4O3,ethyl 2-[2-[2-(4-fluorophenyl)benzimidazol-1-yl]ethylcarbamoylamino]acetate,,,365.140403635614,2.39696666666667,35.2,0,-3.96714039294728,80.6447280479564,M-H2O-H,28.008284438946,27.6015014648478,667.659622073272,644.681599617198,166.986574649765,187.078276634195,34.3927261791523,48.8324582577051,140.857954472319,169.655700683714,172.467206942732,259.372955203
2.48_513.1554m/z,1052186,C13H11N3O3,"N-(1-methyl-2-oxo-3H-indol-5-yl)-1,2-oxazole-5-carboxamide",,,513.1553694716,2.48261666666667,35.9,0,4.98570773515412,85.276870284061,2M-H,27.6443481445015,24.8714294433517,44.2189051228431,36.0711977481924,21.2447179335806,19.5169161654805,37.6648854613514,37.0212613955927,25.2966439667341,31.7774047301248,16.5919494628952,22.8758544922081
2.55_431.1881m/z,1005043,C20H28N6O3S,"1-[6-[2-(butan-2-ylamino)-2-oxoethyl]-7-oxo-[1,3]thiazolo[4,5-d]pyrimidin-2-yl]-N-cyclopropylpiperidine-3-carboxamide",,,431.188063993956,2.55398333333333,35,0,2.26898036500263,77.7877462454463,M-H,2152.49844993153,2229.8242942101,1672.22138787547,1724.31018365757,885.871526496982,946.281706410126,1911.52038368122,2069.27100771618,3121.63671260845,3427.60998384256,1438.89389813969,1561.92006550733
2.59_529.1166m/z,1016857,C12H12ClN3O2,"N-[[3-(2-chlorophenyl)-1,2,4-oxadiazol-5-yl]methyl]propanamide",,,529.11660332768,2.58896666666667,33.9,0,0.511358021261879,70.074324262207,2M-H,105.906472277154,114.99126276908,185.5734200864,208.099529815997,86.7400449062888,101.544311523493,190.962470549094,229.734041333134,111.176202695051,152.901226306157,65.3757934569919,88.3228453993694
2.65_403.1584m/z,1000473,C23H24N4OS,"N-[3-(N-ethylanilino)propyl]-3-pyrrol-1-ylthieno[2,3-b]pyridine-2-carboxamide",,,403.158366840302,2.64606666666667,33.8,0,-3.56074554386419,73.0692168781293,M-H,37.5070844082299,42.5690315424718,105.218584285301,113.46700960206,68.7060208259066,79.7577461645819,75.793580054934,84.5949280130952,127.819321338494,155.647230148345,53.7450838603184,72.0766233007217
2.65_559.1252m/z,1043397,C16H12N2OS,"(2-amino-4-phenyl-1,3-thiazol-5-yl)-phenylmethanone",,,559.125150083762,2.64606666666667,36.4,0,-2.93057025366072,85.4643405855578,2M-H,3877.68209944954,4196.69244070506,3349.36670906309,3725.87037785232,1664.67073860511,1963.4321614373,4228.65673502483,4574.33608380423,3822.42361976461,4354.42235212086,2668.18873068822,3019.91046916682
2.66_627.1116m/z,1045123,C13H10N6O2S,"N-(4,6-dihydrothieno[3,4-c][1,2]oxazol-3-yl)-3-(tetrazol-1-yl)benzamide",,,627.111591109517,2.66033333333333,36.4,0,2.6720559566467,85.4153373357385,2M-H,2505.25046854931,2721.88892993261,1978.76061234552,2205.06777948104,1070.28214219265,1184.38339806342,2602.29935557042,2681.53346064407,2248.12742421613,2508.35751938868,1715.38107691681,1874.24929501211
2.72_431.1892m/z,1000241,C25H28N4OS,N-[(4-methylphenyl)methyl]-1-[3-(4-methylphenyl)sulfanylpyrazin-2-yl]piperidine-3-carboxamide,,,431.189164331612,2.71743333333333,33.7,0,-4.49278198664233,73.7554065429772,M-H,304.057730563498,362.17518529444,254.668396472894,249.306732935231,109.729309529086,120.338028750626,290.54309280262,307.682459312602,441.786117553619,492.431225061492,180.670851395059,223.408873847355
2.72_499.1791m/z,132143,C19H30N6O11,Glu Asn Gln Glu,,,499.179098246819,2.71743333333333,35.3,0,-0.610654027866596,77.4386428576917,M-H2O-H,34.8545069694529,32.8675999641422,19.460643341774,18.2412719726575,12.1463317871119,9.5548859238618,18.7998959422161,24.5116575956461,26.229430566714,35.1847382784055,10.1529485728066,18.1756896972681
2.75_529.1169m/z,1016857,C12H12ClN3O2,"N-[[3-(2-chlorophenyl)-1,2,4-oxadiazol-5-yl]methyl]propanamide",,,529.116899122631,2.74598333333333,32.8,0,1.06933157079715,65.4819084489951,2M-H,22.6239929199389,29.8105163574446,27.0582604316791,36.3011355317628,13.1730219884382,18.4308399486598,45.1383495373758,48.627563476557,13.9756679408138,24.8967953540282,16.0363769531464,14.5230474050415
2.76_479.2478m/z,1087410,C27H33FN4O3,"N-[2-(cyclohexen-1-yl)ethyl]-1-[6-(4-fluorophenyl)-6,8-dihydro-5H-imidazo[5,1-c][1,4]oxazine-1-carbonyl]piperidine-4-carboxamide",,,479.247796060389,2.76025,34.6,0,2.92207283145553,76.4200130021901,M-H,145.447751936864,170.18886489674,0.0,0.0,0.0,0.0,0.0,0.0,1.09721875074255,6.20562917598353,31.3313564973086,38.5257263183507
2.80_405.1279m/z,1000420,C23H24N2O4S,2-[3-(benzenesulfonyl)-2-oxoquinolin-1-yl]-N-cyclohexylacetamide,,,405.127853562639,2.80306666666667,34.5,0,0.0387251826768548,72.6879798325742,M-H2O-H,8.89777235113444,11.4478193779236,18.6355363305009,23.0526817981213,17.5190925305492,19.7734058573409,10.0009342172933,14.2870023260399,13.9026653571193,22.9660931301872,5.97728723460969,13.5606760179114
2.80_513.1213m/z,986605,C25H21F3N4O3S,TMP269,,,513.121336159963,2.80306666666667,34.8,0,-0.0653910006007743,74.088995539239,M-H,158.557525754023,175.097179805185,157.399780392511,145.541732907509,57.9452504515755,60.3230590820766,198.618716436745,183.483982607383,151.167476653931,172.995176315118,77.2999231734744,98.0963819565003
2.80_1077.2650m/z,CSID28184670,C18H29N5O10S2,L-γ-Glutamyl-L-cysteinyl-L-γ-glutamyl-L-cysteinylglycine,http://nonlinear.com/redirect/outbound?p=chemspider&param=28184670,,1077.26495473589,2.80306666666667,33.9,0,0.985993057153662,70.9334781208909,2M-H,6.54464784167504,5.69185356353321,34.6107098061647,22.4570312500244,9.95084849745752,6.45074462891232,16.3359976270712,14.6205444335792,16.2842409610813,18.983032226565,12.7846494998514,10.9102172851524
2.82_503.1745m/z,1044183,C12H13FN2O3,2-(4-fluorophenoxy)-N-(5-oxopyrrolidin-3-yl)acetamide,,,503.174538156524,2.81735,37.8,0,-0.449087506434727,89.6676681254464,2M-H,108.191419668198,123.240033756992,41.3110759135813,48.9282834529985,64.8049025535778,76.4464263320004,67.3052838074707,69.9350168709637,77.8704366575035,91.9000659087951,48.7964631914799,59.3136146068533
2.85_677.1280m/z,1008634,C17H13N3O3S,,,,677.127978498677,2.85233333333333,36.5,0,-0.397633353415306,83.0393748831087,2M-H,28.3422546386782,31.3562009334324,132.113698453128,134.802857398892,122.585738812768,102.010223388742,91.3536987304335,88.7329405546473,78.8384400010043,96.0582575798499,138.432617187489,143.35873413088
2.88_186.1113m/z,CSID67175682,C12H19NSi,N-{2-[Dimethyl(vinyl)silyl]ethyl}aniline,http://nonlinear.com/redirect/outbound?p=chemspider&param=67175682,,186.111272047259,2.88088333333333,35.6,0,2.13118549317332,80.6037283856525,M-H2O-H,4.86765418957462,4.63382776899171,16.4113779963762,14.1685452254796,11.8209338526005,11.7975158691359,0.0,0.0,17.5328161784281,21.4135971069369,5.27102655172413,6.84716762790752
2.88_609.1394m/z,1076755,C15H13ClFN3O,"(2-chloro-6-fluorophenyl)-(2-methyl-7,8-dihydro-5H-pyrido[4,3-d]pyrimidin-6-yl)methanone",,,609.139386762497,2.88088333333333,33.4,0,0.70024648406027,68.0930393764052,2M-H,83.5701901913097,94.4715268612067,659.129717783618,544.499113320901,634.226428656812,562.835078440736,325.368753563713,382.657257079864,262.909555927507,309.973418811078,278.866666495923,360.064880132656
2.91_669.1649m/z,1046238,C14H14FN5O2S,"2-[(4-fluoro-1,3-benzothiazol-2-yl)-methylamino]-N-[(3-methyl-1,2,4-oxadiazol-5-yl)methyl]acetamide",,,669.164921916137,2.90941666666667,36.4,0,2.61199810130413,85.0549174960746,2M-H,7.78190488005324,6.64349371195516,26.3162484685747,25.6871644258317,23.9862985723599,24.6836852431206,27.447618679544,27.407609765102,1.74453735351426,4.43240356445313,9.36262651881692,7.41772466898192
2.92_707.1375m/z,1030195,C18H13FN3O2S,"2-(4-fluorophenyl)-7-(thiophene-3-carbonyl)-1,5,6,8-tetrahydropyrido[3,4-d]pyrimidin-4-one",,,707.137526151421,2.9237,34.6,0,3.24906717920966,76.8861711228357,2M-H,23.1217043399872,21.9981200512415,45.3235473036603,41.7101135254261,67.0379333496026,58.6657412052559,49.6620788574615,63.3856201171675,10.5216981172542,11.2725812029889,23.5075329679886,29.3203125297979
2.97_377.1810m/z,1016997,C22H28N4OS,N-cyclopentyl-1-[3-(3-methylphenyl)sulfanylpyrazin-2-yl]piperidine-4-carboxamide,,,377.180999683558,2.96651666666667,34.4,0,1.15666004152591,73.4344711569218,M-H2O-H,36.0470581054885,35.3959590270055,4.1988900846213,4.03665161132753,4.25183926323197,1.52558898925804,7.02016471516577,10.7710876464848,12.1280246094997,21.8688586816853,4.86485177336182,11.8725130856026
2.98_677.1317m/z,1046240,C16H18ClNO3S,5-chloro-N-(2-hydroxy-3-phenylpropyl)-2-methylbenzenesulfonamide,,,677.131705052354,2.98078333333333,32.8,0,-0.299049414330581,64.4007522603467,2M-H,7.0082910286409,8.12909167094454,14.5136615241231,22.5750995452832,12.9421742897984,21.5185456057919,14.5520582144994,17.6047304315923,7.06251945672765,9.94210021570448,25.002715151789,21.0822347903903
2.98_995.2396m/z,HMDB39729,C36H54O33,b-D-Glucopyranuronosyl-(1->3)-a-D-galactopyranuronosyl-(1->2)-a-L-rhamnopyranosyl-(1->4)-[b-D-glucopyranuronosyl-(1->3)]-a-D-galactopyranuronosyl-(1->2)-L-rhamnopyranose,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB39729,,995.239637762815,2.98078333333333,34.2,0,2.70613038633599,74.4571740832919,M-H2O-H,0.0,0.0,80.2818422607775,80.0921914562793,34.7024126904798,45.0695918305884,20.8278137709503,15.070745482714,37.7921430645812,40.7107916536184,100.800476074235,97.5754156553893
3.00_545.0891m/z,1047086,C11H15NO3S2,"N-[(1,1-dioxothiolan-3-yl)methyl]-2-thiophen-2-ylacetamide",,,545.089140151501,2.99506666666667,34.9,0,-4.12765252812813,79.0821524858471,2M-H,2.60014934768934,0.0,27.2419647789562,25.7593697779139,23.9293161210473,19.7647468936809,12.3762792349947,16.2566177293575,13.6488478527655,19.0875268974714,23.5912176436065,36.7296752930061
3.01_609.1423m/z,2417,C17H17Cl2N,Sertraline,,,609.142269036101,3.00933333333333,29.4,0,3.17229485077468,50.9740078789941,2M-H,30.6840165071636,31.5364999987975,131.862498182538,166.033690170752,128.221471280248,171.134979336499,124.807518375959,121.234223246697,42.5107222041244,42.8868055269866,102.859680352767,97.8112798057255
3.02_509.2235m/z,166261,C23H34N4O9,Ile Thr Tyr Asp,,,509.223471200645,3.02361666666667,34.2,0.128,-3.58866338883798,75.0512256164664,M-H,53.8456267118425,63.5399470329344,21.1906784047292,21.5687102079368,24.6230354443208,25.3149235460763,40.8040631899377,47.1123198270828,42.0233058777336,50.4510045051482,15.666015625,22.5670099327127
3.05_501.1566m/z,1032839,C13H9N5O,"2-[2-(3-pyridin-3-yl-1,2,4-oxadiazol-5-yl)pyrrol-1-yl]acetonitrile",,,501.156550069139,3.05216666666667,35.9,0,4.79255606525447,85.1502923150757,2M-H,43.9614599942288,49.9360002822567,24.5661922855548,22.4922315261463,36.2440950286587,33.3515234089285,26.3122779442583,25.8218020537063,59.7081579445984,66.676952948313,26.202022331223,29.0166764310424
3.12_264.0875m/z,CSID18560037,C13H15NO5,1-[(Benzyloxy)carbonyl]-4-hydroxy-L-proline,http://nonlinear.com/redirect/outbound?p=chemspider&param=18560037,,264.087487941569,3.11568333333333,36.9,0,-0.97559896977859,85.4498466499492,M-H,3.37273895966442,5.58423038065851,3.90998866095017,3.87369026182208,9.21416028972651,14.6993836374658,0.0,0.0,0.0,0.0,10.0585783720047,12.4399033769504
3.14_327.0850m/z,1008268,C20H16N3OS,"N-[[4-(4-methyl-1,3-thiazol-2-yl)phenyl]methyl]-1H-indole-2-carboxamide",,,327.084950912149,3.14423333333333,34.6,0,3.99849592228757,77.7502039662986,M-H2O-H,42.5379865785365,51.0643546454319,218.674533513959,241.432309702053,209.276268994881,216.865127686734,265.652433748707,297.555536564901,61.7135406796466,87.7619018554815,63.3414576311834,95.1474999076927
3.17_461.1047m/z,1004600,C21H23ClN4O4S,"2-[2-chloro-5-(4-ethylpiperazin-1-yl)sulfonylphenyl]-5-(4-methoxyphenyl)-1,3,4-oxadiazole",,,461.104664853905,3.17278333333333,32.2,0,-1.97494862457522,63.2320596068345,M-H,9378.60025775849,9674.27442977166,13452.0365109583,14144.7044412342,10111.7826162002,10591.4138131528,13142.8627560067,13618.5367886177,19745.4866009117,20765.0979831394,10917.7216673143,11569.1699995734
3.17_529.0935m/z,CSID526929,C13H12ClNO3,"Ethyl 4-chloro-1-methyl-2-oxo-1,2-dihydro-3-quinolinecarboxylate",http://nonlinear.com/redirect/outbound?p=chemspider&param=526929,,529.093474726038,3.17278333333333,33.3,0,-0.737296962049293,67.1639870812763,2M-H,28.3912802768004,37.7925150871125,44.9864995297604,58.2341613770059,30.5027072538175,33.5225525498375,40.3758072482382,45.9317600724947,66.8331769837073,81.3710632323674,25.7185972928975,34.4322881935896
3.17_923.2178m/z,1004600,C21H23ClN4O4S,"2-[2-chloro-5-(4-ethylpiperazin-1-yl)sulfonylphenyl]-5-(4-methoxyphenyl)-1,3,4-oxadiazole",,,923.217842232985,3.17278333333333,32.9,0,-0.637512147041351,65.4773361040098,2M-H,20.7137847541427,18.1792907714799,62.5538949042478,59.9899065667269,23.7880185552253,18.9570415551818,38.9947814941405,69.7916868925508,236.656198284251,375.082427978746,17.7675476074145,32.7800230298591
3.22_623.1557m/z,1033400,C13H17ClN4OS,"2-(4-chloro-3,5-dimethylpyrazol-1-yl)-4-methyl-N-propyl-1,3-thiazole-5-carboxamide",,,623.155742182764,3.2156,33.5,0,1.11965564328887,68.9125929394607,2M-H,1370.20090516039,1452.47491599307,4027.23675419424,4110.63897207622,4882.14688967396,4935.12360793651,4716.11770010298,4856.12100577079,1422.69742304073,1593.46176445527,2329.86132971537,2380.49929075492
3.22_1039.2629m/z,CSID4445620,C24H28N2O7S2,Eprosartan mesylate,http://nonlinear.com/redirect/outbound?p=chemspider&param=4445620,,1039.26291318158,3.2156,35.5,0,2.50283063494209,80.2403790686356,2M-H,1.74316406250102,1.82379150390466,63.9119839758047,53.3311509691452,35.6301973111216,26.8170783389653,78.6314035602803,62.174255669119,23.3585385544154,22.5782582550478,25.9342340671294,20.8060145075934
