compound_name,formula,molecular_formula,source_compound_id,description,rank,probabilidade
"(2R)-1-[(1Z)-1-Hexadecen-1-yloxy]-3-[(hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-2-propanyl (13Z,16Z)-13,16-docosadienoate",C47H87O12P,C47H87O12P,CSID115267249,"(2R)-1-[(1Z)-1-Hexadecen-1-yloxy]-3-[(hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-2-propanyl (13Z,16Z)-13,16-docosadienoate",5,0.16393460300466617
"(2R)-1-[(9Z)-9-Hexadecenoyloxy]-3-[(hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-2-propanyl docosanoate",C47H89O13P,C47H89O13P,CSID113378033,"(2R)-1-[(9Z)-9-Hexadecenoyloxy]-3-[(hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-2-propanyl docosanoate",1,0.08912718397100161
"(2R)-2-[(9Z)-9-Heptadecenoyloxy]-3-[(hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]propyl henicosanoate",C47H89O13P,C47H89O13P,CSID113378494,"(2R)-2-[(9Z)-9-Heptadecenoyloxy]-3-[(hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]propyl henicosanoate",2,0.08912718397100161
"(2R)-2-[(9Z)-9-Hexadecenoyloxy]-3-[(hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]propyl docosanoate",C47H89O13P,C47H89O13P,CSID113378517,"(2R)-2-[(9Z)-9-Hexadecenoyloxy]-3-[(hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]propyl docosanoate",3,0.08912718397100161
"(2R)-1-[(9Z)-9-Heptadecenoyloxy]-3-[(hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-2-propanyl henicosanoate",C47H89O13P,C47H89O13P,CSID113378083,"(2R)-1-[(9Z)-9-Heptadecenoyloxy]-3-[(hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-2-propanyl henicosanoate",4,0.08466921389304023
"(2R)-3-[(Hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-2-[(9Z)-9-octadecenoyloxy]propyl icosanoate",C47H89O13P,C47H89O13P,CSID113378760,"(2R)-3-[(Hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-2-[(9Z)-9-octadecenoyloxy]propyl icosanoate",5,0.08132445073772433
8-O-Methyloblongine,C20H26NO3+,C20H26NO3+,HMDB34579,8-O-Methyloblongine,2,0.049268281668913796
"(4S,4aS,5S)-8a-Hydroxy-3,4a,5-trimethyl-2,8-dioxo-2,4,4a,5,6,7,8,8a-octahydronaphtho[2,3-b]furan-4-yl (2E)-3-methyl-2-pentenoate",C21H26O6,C21H26O6,CSID28289851,"(4S,4aS,5S)-8a-Hydroxy-3,4a,5-trimethyl-2,8-dioxo-2,4,4a,5,6,7,8,8a-octahydronaphtho[2,3-b]furan-4-yl (2E)-3-methyl-2-pentenoate",3,0.017107326608228925
"Methyl (6E,10E)-10-methyl-4-{[(2Z)-2-methyl-2-butenoyl]oxy}-3-methylene-2-oxo-2,3,3a,4,5,8,9,11a-octahydrocyclodeca[b]furan-6-carboxylate",C21H26O6,C21H26O6,CSID35015114,"Methyl (6E,10E)-10-methyl-4-{[(2Z)-2-methyl-2-butenoyl]oxy}-3-methylene-2-oxo-2,3,3a,4,5,8,9,11a-octahydrocyclodeca[b]furan-6-carboxylate",4,0.017107326608228925
renytoline,C21H16N2,C21H16N2,CSID140964,renytoline,1,0.08152599774505549
